profissao,salario,idade,sexo,regiao,estado,empresa,experiencia,trabalho,escolaridade,formacao,setor,satisfacao,modelo,nivel,linguagemPython,linguagemSQL,linguagemR,linguagemJava,linguagemJavascript,linguagemScala,linguagemVBA
Analista de Dados,7000.0,32.0,Masculino,Sul,PR,Grande,6 a 10 anos,CLT,Pós-Graduado,Econ/Adm,Alimentício,1.0,Presencial,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de Dados,5000.0,27.0,Masculino,Sul,RS,Grande,2 a 3 anos,CLT,Graduado,Engenharias,Indústria,1.0,Híbrido,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,2500.0,21.0,Masculino,Sudeste,SP,Pequena,até 1 ano,CLT,Graduado,Comp/Sist,Finanças,1.0,Híbrido,Júnior,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Analista de BI,3500.0,27.0,Masculino,Sudeste,SP,Grande,1 a 2 anos,CLT,Graduado,Econ/Adm,Varejo,1.0,Home-Office,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Analista de BI,3500.0,26.0,Masculino,Nordeste,BA,Grande,1 a 2 anos,CLT,Graduado,Econ/Adm,Finanças,1.0,Home-Office,Pleno,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Analista de BI,2500.0,25.0,Feminino,Nordeste,CE,Média,1 a 2 anos,CLT,Estudante,Estat/Mat,Marketing,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,40000.0,27.0,Masculino,Sudeste,SP,Média,10+ anos,PJ,Graduado,Mkt/Comun,Tecnologia,1.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Analista de Dados,7000.0,35.0,Masculino,Sudeste,MG,Grande,2 a 3 anos,CLT,Pós-Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,14000.0,27.0,Masculino,Sudeste,SP,Grande,4 a 5 anos,CLT,Graduado,Econ/Adm,Tecnologia,1.0,Híbrido,Pleno,1.0,1.0,1.0,0.0,0.0,1.0,0.0
Engenheiro de Dados,18000.0,31.0,Masculino,Sul,RS,Grande,6 a 10 anos,CLT,Mestre,Comp/Sist,Finanças,1.0,Home-Office,Sênior,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Outras,2500.0,26.0,Masculino,Sudeste,SP,Grande,até 1 ano,CLT,Pós-Graduado,Comp/Sist,Telecom,1.0,Home-Office,Júnior,0.0,1.0,1.0,0.0,0.0,0.0,1.0
Cientista de Dados,10000.0,32.0,Masculino,Sudeste,RJ,Grande,1 a 2 anos,CLT,Pós-Graduado,Engenharias,Tecnologia,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,5000.0,23.0,Masculino,Sudeste,RJ,Grande,até 1 ano,CLT,Graduado,Engenharias,Saúde,1.0,Home-Office,Júnior,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Analista de Dados,5000.0,24.0,Masculino,Sudeste,SP,Grande,1 a 2 anos,CLT,Graduado,Quím/Fis,Finanças,0.0,Presencial,Pleno,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Analista de BI,1500.0,21.0,Masculino,Sudeste,SP,Média,até 1 ano,Estagiário,Estudante,Comp/Sist,Finanças,0.0,Híbrido,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,18000.0,31.0,Feminino,Sudeste,SP,Média,10+ anos,PJ,Pós-Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Sênior,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Analista de Dados,5000.0,33.0,Masculino,Sudeste,MG,Grande,10+ anos,CLT,Estudante,Engenharias,Outro,1.0,Home-Office,Pleno,1.0,1.0,0.0,1.0,1.0,0.0,1.0
Analista de Dados,2500.0,30.0,Feminino,Norte,,Grande,1 a 2 anos,CLT,Pós-Graduado,Engenharias,Varejo,1.0,Híbrido,Júnior,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,2500.0,22.0,Masculino,Nordeste,CE,Média,1 a 2 anos,Estagiário,Estudante,Engenharias,Finanças,1.0,Híbrido,Júnior,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Outras,1500.0,36.0,Masculino,Sudeste,MG,Grande,Sem Exp.,CLT,Graduado,Comp/Sist,Alimentício,0.0,Presencial,Pleno,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,7000.0,29.0,Masculino,Sudeste,SP,Grande,1 a 2 anos,CLT,Graduado,Comp/Sist,Agronegócios,1.0,Híbrido,Júnior,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Engenheiro de ML,35000.0,31.0,Masculino,Sul,PR,Grande,10+ anos,PJ,Mestre,Comp/Sist,Tecnologia,1.0,Home-Office,Sênior,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,10000.0,25.0,Masculino,Sudeste,SP,Média,4 a 5 anos,PJ,Mestre,Estat/Mat,Tecnologia,1.0,Home-Office,Sênior,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Analista de BI,1500.0,22.0,Masculino,Sudeste,MG,Pequena,até 1 ano,Estagiário,Estudante,Econ/Adm,Finanças,0.0,Presencial,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,7000.0,28.0,Masculino,Sul,PR,Média,1 a 2 anos,CLT,Graduado,Engenharias,Varejo,1.0,Híbrido,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,5000.0,29.0,Feminino,Sudeste,SP,Pequena,1 a 2 anos,PJ,Mestre,Outras,Tecnologia,0.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de Dados,7000.0,38.0,Feminino,Sudeste,MG,Grande,10+ anos,CLT,Pós-Graduado,Estat/Mat,Construção Civil,0.0,Híbrido,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,14000.0,34.0,Feminino,Sudeste,MG,Grande,10+ anos,Servidor,Doutor,Comp/Sist,Governamental,1.0,Home-Office,Sênior,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Outras,2500.0,38.0,Feminino,Sudeste,RJ,Pequena,Sem Exp.,CLT,Pós-Graduado,Engenharias,Construção Civil,0.0,Presencial,Pleno,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,1500.0,24.0,Masculino,Sudeste,SP,Média,até 1 ano,Estagiário,Graduado,Comp/Sist,Marketing,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,5000.0,28.0,Masculino,Centro-oeste,MT,Grande,2 a 3 anos,CLT,Pós-Graduado,Engenharias,Finanças,1.0,Híbrido,Pleno,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,7000.0,29.0,Masculino,Nordeste,CE,Pequena,4 a 5 anos,PJ,Graduado,Comp/Sist,Logística,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de Dados,10000.0,,Masculino,Sudeste,RJ,Média,4 a 5 anos,Servidor,Pós-Graduado,Estat/Mat,Seguros,1.0,Home-Office,Pleno,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Analista de BI,7000.0,28.0,Feminino,Centro-oeste,DF,Média,até 1 ano,CLT,Graduado,Engenharias,Finanças,1.0,Presencial,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,14000.0,47.0,Masculino,Centro-oeste,DF,Média,10+ anos,CLT,Graduado,Comp/Sist,Outro,0.0,Home-Office,Sênior,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Analista de BI,10000.0,33.0,Masculino,Sudeste,MG,Grande,4 a 5 anos,CLT,Pós-Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,5000.0,23.0,Masculino,Sul,RS,Média,2 a 3 anos,CLT,Pós-Graduado,Engenharias,Finanças,1.0,Híbrido,Pleno,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Outras,1500.0,23.0,Masculino,Centro-oeste,GO,Pequena,até 1 ano,CLT,Graduado,Comp/Sist,Tecnologia,0.0,Home-Office,Pleno,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Analista de Dados,5000.0,21.0,Masculino,Sudeste,SP,Pequena,2 a 3 anos,CLT,Graduado,Estat/Mat,Marketing,1.0,Híbrido,Sênior,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Engenheiro de Dados,7000.0,27.0,Masculino,Sudeste,SP,Pequena,4 a 5 anos,CLT,Pós-Graduado,Comp/Sist,Internet,1.0,Híbrido,Pleno,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Cientista de Dados,14000.0,30.0,Masculino,Sudeste,SP,Média,1 a 2 anos,CLT,Doutor,Quím/Fis,Tecnologia,1.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,2500.0,29.0,Feminino,Sudeste,SP,Pequena,até 1 ano,PJ,Graduado,Mkt/Comun,Marketing,1.0,Home-Office,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,7000.0,32.0,Masculino,Sudeste,SP,Pequena,4 a 5 anos,CLT,Doutor,Biológicas,Saúde,1.0,Híbrido,Pleno,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Outras,5000.0,44.0,Masculino,Sudeste,SP,Média,4 a 5 anos,CLT,Graduado,Econ/Adm,Outro,0.0,Híbrido,Sênior,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,10000.0,24.0,Masculino,Sudeste,RJ,Média,até 1 ano,PJ,Graduado,Econ/Adm,Finanças,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,10000.0,28.0,Masculino,Sul,PR,Pequena,4 a 5 anos,PJ,Pós-Graduado,Comp/Sist,Saúde,1.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,2500.0,33.0,Masculino,Sudeste,SP,Grande,até 1 ano,Outros,Mestre,Engenharias,Indústria,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,3500.0,36.0,Masculino,Sudeste,SP,Pequena,1 a 2 anos,CLT,Graduado,Engenharias,Marketing,1.0,Home-Office,Pleno,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de Dados,7000.0,41.0,Masculino,Sudeste,ES,Grande,6 a 10 anos,CLT,Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Pleno,1.0,1.0,0.0,1.0,1.0,0.0,1.0
Engenheiro de Dados,10000.0,35.0,Masculino,Sul,RS,Grande,10+ anos,CLT,Pós-Graduado,Comp/Sist,Varejo,1.0,Home-Office,Sênior,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Engenheiro de ML,40000.0,28.0,Masculino,Sudeste,SP,Média,1 a 2 anos,PJ,Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,2500.0,31.0,Masculino,Sudeste,RJ,Grande,4 a 5 anos,CLT,Estudante,Comp/Sist,Tecnologia,0.0,Híbrido,Pleno,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Outras,7000.0,42.0,Masculino,Sudeste,ES,Grande,Sem Exp.,Servidor,Mestre,Econ/Adm,Governamental,0.0,Presencial,Pleno,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,10000.0,32.0,Feminino,Sudeste,MG,Grande,4 a 5 anos,CLT,Pós-Graduado,Engenharias,Tecnologia,1.0,Home-Office,Sênior,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,7000.0,38.0,Masculino,Sudeste,MG,Pequena,10+ anos,CLT,Pós-Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,3500.0,33.0,Feminino,Sudeste,SP,Grande,Sem Exp.,CLT,Graduado,Econ/Adm,Tecnologia,1.0,Híbrido,Pleno,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,5000.0,29.0,Feminino,Sudeste,MG,Pequena,até 1 ano,CLT,Pós-Graduado,Engenharias,Tecnologia,1.0,Home-Office,Júnior,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de Dados,10000.0,24.0,Feminino,Sul,PR,Média,2 a 3 anos,CLT,Estudante,Comp/Sist,Outro,1.0,Híbrido,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de Dados,1000.0,19.0,Masculino,Centro-oeste,DF,Grande,Sem Exp.,Estagiário,Estudante,Estat/Mat,Seguros,1.0,Híbrido,Júnior,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,7000.0,41.0,Masculino,Sudeste,SP,Média,até 1 ano,CLT,Estudante,Comp/Sist,Finanças,1.0,Híbrido,Pleno,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Cientista de Dados,3500.0,29.0,Feminino,Sudeste,SP,Grande,6 a 10 anos,CLT,Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de Dados,10000.0,30.0,Feminino,Sudeste,SP,Grande,4 a 5 anos,CLT,Pós-Graduado,Comp/Sist,Varejo,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Analista de BI,10000.0,36.0,Masculino,Sudeste,SP,Pequena,4 a 5 anos,CLT,Estudante,Estat/Mat,Internet,0.0,Híbrido,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,10000.0,37.0,Masculino,Sudeste,SP,Média,4 a 5 anos,CLT,Pós-Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,7000.0,25.0,Feminino,Sudeste,MG,Média,1 a 2 anos,PJ,Pós-Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,7000.0,36.0,Masculino,Sudeste,MG,Grande,2 a 3 anos,CLT,Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Pleno,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Analista de Dados,10000.0,51.0,Masculino,Sul,SC,Média,2 a 3 anos,Servidor,Pós-Graduado,Mkt/Comun,Governamental,0.0,Híbrido,Júnior,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,5000.0,28.0,Masculino,Sul,PR,Média,2 a 3 anos,CLT,Mestre,Engenharias,Saúde,1.0,Presencial,Júnior,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Analista de Dados,5000.0,24.0,Masculino,Sudeste,SP,Média,2 a 3 anos,CLT,Graduado,Engenharias,Finanças,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de Dados,5000.0,25.0,Masculino,Sudeste,SP,Grande,1 a 2 anos,CLT,Pós-Graduado,Comp/Sist,Saúde,0.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,5000.0,30.0,Masculino,Sul,PR,Média,6 a 10 anos,CLT,Graduado,Estat/Mat,Tecnologia,0.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,10000.0,26.0,Masculino,Sudeste,SP,Pequena,até 1 ano,CLT,Doutor,Quím/Fis,Tecnologia,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,7000.0,49.0,Masculino,Sudeste,SP,Grande,Sem Exp.,CLT,Pós-Graduado,Estat/Mat,Educação,0.0,Presencial,Pleno,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Outras,1500.0,20.0,Masculino,Sul,PR,Média,1 a 2 anos,CLT,Graduado,Comp/Sist,Telecom,0.0,Presencial,Júnior,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Outras,7000.0,45.0,Masculino,Sudeste,SP,Grande,1 a 2 anos,CLT,Graduado,Outras,Consultoria,1.0,Híbrido,Sênior,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Outras,3500.0,34.0,Masculino,Sudeste,MG,Grande,6 a 10 anos,Servidor,Pós-Graduado,Comp/Sist,Educação,0.0,Híbrido,Pleno,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,14000.0,27.0,Masculino,Sudeste,MG,Média,4 a 5 anos,CLT,Pós-Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Analista de BI,5000.0,34.0,Masculino,Sul,RS,Média,2 a 3 anos,PJ,Pós-Graduado,Comp/Sist,Saúde,0.0,Híbrido,Sênior,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Outras,14000.0,51.0,Masculino,Sudeste,RJ,Grande,4 a 5 anos,CLT,Estudante,Comp/Sist,Indústria,1.0,Home-Office,Sênior,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,5000.0,22.0,Masculino,Sudeste,MG,Grande,1 a 2 anos,CLT,Estudante,Engenharias,Finanças,1.0,Híbrido,Júnior,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Engenheiro de ML,7000.0,28.0,Masculino,Centro-oeste,GO,Pequena,4 a 5 anos,CLT,Pós-Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Sênior,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Analista de Dados,5000.0,20.0,Masculino,Nordeste,CE,Grande,1 a 2 anos,CLT,Estudante,Comp/Sist,Tecnologia,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,10000.0,35.0,Masculino,Nordeste,RN,Grande,6 a 10 anos,Servidor,Mestre,Comp/Sist,Governamental,0.0,Híbrido,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de Dados,10000.0,50.0,Masculino,Centro-oeste,GO,Grande,6 a 10 anos,CLT,Pós-Graduado,Comp/Sist,Outro,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Analista de BI,10000.0,28.0,Masculino,Sudeste,SP,Grande,2 a 3 anos,PJ,Graduado,Engenharias,Tecnologia,1.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Cientista de Dados,10000.0,24.0,Masculino,Sudeste,SP,Pequena,2 a 3 anos,CLT,Graduado,Engenharias,Consultoria,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,10000.0,28.0,Masculino,Sudeste,MG,Grande,até 1 ano,CLT,Pós-Graduado,Engenharias,Outro,0.0,Home-Office,Júnior,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,27500.0,41.0,Masculino,Centro-oeste,DF,Grande,10+ anos,CLT,Mestre,Estat/Mat,Saúde,1.0,Presencial,Sênior,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Analista de BI,14000.0,33.0,Masculino,Centro-oeste,GO,Média,4 a 5 anos,CLT,Pós-Graduado,Comp/Sist,Finanças,1.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,2500.0,24.0,Feminino,Sudeste,SP,Grande,até 1 ano,Estagiário,Estudante,Comp/Sist,Finanças,0.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,3500.0,31.0,Masculino,Sudeste,MG,Média,1 a 2 anos,CLT,Pós-Graduado,Comp/Sist,Saúde,0.0,Híbrido,Júnior,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,10000.0,22.0,Masculino,Sudeste,SP,Média,Sem Exp.,CLT,Graduado,Comp/Sist,Tecnologia,1.0,Híbrido,Sênior,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Outras,2500.0,21.0,Masculino,Sudeste,SP,Grande,Sem Exp.,CLT,Estudante,Engenharias,Indústria,0.0,Presencial,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outras,5000.0,30.0,Outro,Nordeste,SE,Pequena,até 1 ano,Outros,Graduado,Engenharias,Energia,0.0,Home-Office,Júnior,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Analista de Dados,2500.0,25.0,Feminino,Centro-oeste,DF,Média,até 1 ano,CLT,Pós-Graduado,Outras,Varejo,1.0,Home-Office,Júnior,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Analista de BI,1000.0,25.0,Masculino,Sudeste,ES,Média,até 1 ano,Estagiário,Estudante,Engenharias,Indústria,1.0,Híbrido,Júnior,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Analista de BI,5000.0,21.0,Feminino,Sudeste,SP,Grande,4 a 5 anos,CLT,Pós-Graduado,Mkt/Comun,Educação,1.0,Híbrido,Pleno,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,5000.0,28.0,Masculino,Sudeste,SP,Grande,2 a 3 anos,CLT,Pós-Graduado,Engenharias,Indústria,1.0,Home-Office,Pleno,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Analista de Dados,10000.0,45.0,Masculino,Sul,RS,Média,4 a 5 anos,Servidor,Pós-Graduado,Comp/Sist,Outro,1.0,Híbrido,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,10000.0,33.0,Masculino,Sudeste,SP,Grande,2 a 3 anos,CLT,Graduado,Comp/Sist,Varejo,1.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,5000.0,23.0,Masculino,Sudeste,MG,Média,1 a 2 anos,CLT,Graduado,Comp/Sist,Finanças,1.0,Home-Office,Júnior,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,5000.0,29.0,Masculino,Centro-oeste,GO,Pequena,4 a 5 anos,PJ,Doutor,Biológicas,Saúde,0.0,Home-Office,Pleno,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,5000.0,37.0,Masculino,Sudeste,RJ,Grande,2 a 3 anos,CLT,Graduado,Econ/Adm,Indústria,0.0,Híbrido,Pleno,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,14000.0,44.0,Feminino,Sudeste,SP,Grande,10+ anos,PJ,Mestre,Estat/Mat,Telecom,0.0,Home-Office,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Analista de BI,14000.0,44.0,Masculino,Sudeste,RJ,Grande,10+ anos,Servidor,Pós-Graduado,Econ/Adm,Tecnologia,1.0,Home-Office,Sênior,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Cientista de Dados,10000.0,26.0,Feminino,Sudeste,SP,Média,1 a 2 anos,CLT,Graduado,Mkt/Comun,Educação,1.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,2500.0,31.0,Masculino,Sudeste,MG,Média,1 a 2 anos,CLT,Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,2500.0,32.0,Feminino,Sudeste,MG,Pequena,Sem Exp.,CLT,Graduado,Comp/Sist,Outro,0.0,Presencial,Pleno,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,5000.0,23.0,Masculino,Centro-oeste,DF,Média,1 a 2 anos,CLT,Estudante,Comp/Sist,Finanças,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,2500.0,21.0,Masculino,Sudeste,SP,Média,até 1 ano,CLT,Estudante,Outras,Finanças,0.0,Híbrido,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de Dados,10000.0,28.0,Masculino,Sudeste,SP,Média,1 a 2 anos,CLT,Graduado,Quím/Fis,Finanças,1.0,Híbrido,Sênior,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Cientista de Dados,18000.0,35.0,Masculino,Centro-oeste,DF,Grande,4 a 5 anos,Servidor,Mestre,Quím/Fis,Governamental,0.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,2500.0,26.0,Masculino,Centro-oeste,GO,Média,1 a 2 anos,CLT,Graduado,Econ/Adm,Imobiliário,0.0,Presencial,Júnior,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Analista de BI,5000.0,48.0,Masculino,Sudeste,SP,Grande,2 a 3 anos,CLT,Pós-Graduado,Comp/Sist,Tecnologia,1.0,Presencial,Pleno,1.0,1.0,1.0,0.0,0.0,1.0,0.0
Analista de BI,5000.0,37.0,Masculino,Sudeste,SP,Grande,até 1 ano,CLT,Graduado,Comp/Sist,Telecom,0.0,Home-Office,Sênior,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Cientista de Dados,14000.0,28.0,Feminino,Sudeste,SP,Grande,4 a 5 anos,Servidor,Graduado,Econ/Adm,Governamental,0.0,Híbrido,Pleno,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Cientista de Dados,10000.0,33.0,Masculino,Sudeste,SP,Grande,4 a 5 anos,CLT,Mestre,Comp/Sist,Tecnologia,1.0,Home-Office,Sênior,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Cientista de Dados,2500.0,22.0,Masculino,Sudeste,SP,Média,2 a 3 anos,CLT,Graduado,Quím/Fis,Finanças,1.0,Home-Office,Júnior,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Outras,2500.0,25.0,Masculino,Nordeste,MA,Pequena,2 a 3 anos,Servidor,Mestre,Econ/Adm,Governamental,1.0,Presencial,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Analista de Dados,7000.0,24.0,Masculino,Sudeste,SP,Média,1 a 2 anos,CLT,Graduado,Engenharias,Alimentício,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,3500.0,25.0,Masculino,Centro-oeste,DF,Grande,até 1 ano,CLT,Graduado,Engenharias,Outro,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,5000.0,38.0,Masculino,Sudeste,MG,Pequena,4 a 5 anos,PJ,Graduado,Econ/Adm,Tecnologia,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,10000.0,35.0,Masculino,Sul,PR,Grande,2 a 3 anos,CLT,Pós-Graduado,Comp/Sist,Indústria,1.0,Home-Office,Pleno,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Analista de Dados,5000.0,29.0,Feminino,Sudeste,SP,Grande,até 1 ano,CLT,Mestre,Biológicas,Imobiliário,1.0,Híbrido,Júnior,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Cientista de Dados,14000.0,39.0,Masculino,Sudeste,MG,Grande,10+ anos,CLT,Doutor,Comp/Sist,Saúde,1.0,Home-Office,Pleno,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Outras,5000.0,28.0,Masculino,Nordeste,PB,Pequena,Sem Exp.,PJ,Pós-Graduado,Econ/Adm,Indústria,1.0,Presencial,Sênior,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Outras,2500.0,33.0,Masculino,Sudeste,RJ,Média,até 1 ano,CLT,Estudante,Comp/Sist,Outro,0.0,Híbrido,Sênior,1.0,0.0,0.0,0.0,0.0,0.0,1.0
